Description	ID	tita	tlon	tcan	tusa	dmag	dpul	afra	ocin	tcas	lart	lubb	lapu	lcou	etex
NA	OG0000422	0	0	2	0	0	0	0	0	0	24	0	8	6	0
NA	OG0000424	3	1	2	2	1	8	4	2	7	1	2	1	1	4
NA	OG0000425	3	1	2	1	1	2	1	3	11	2	6	1	2	3
NA	OG0000426	5	6	4	4	1	5	1	1	1	2	2	2	2	3
NA	OG0000427	3	1	5	2	1	1	3	2	2	1	10	1	2	5
NA	OG0000428	3	2	1	2	2	3	8	2	3	2	2	2	3	4
NA	OG0000429	2	1	1	2	2	3	1	7	2	2	2	8	4	2
NA	OG0000430	3	2	4	1	2	1	5	1	6	1	2	2	4	5
NA	OG0000431	2	1	2	2	5	3	3	2	3	2	3	3	2	6
NA	OG0000432	3	1	3	3	4	8	3	3	3	1	2	2	1	2
